Ciudades,Rutas,TotalPremium,LimitePremium,Nanosegundos
6,13,12,5,20463
6,13,12,6,25212
6,13,12,7,30241
6,13,12,8,35967
6,13,12,9,42044
6,13,12,10,48539
6,13,12,11,55244
6,13,12,12,62717
6,13,13,0,4050
6,13,13,1,6286
6,13,13,2,9638
6,13,13,3,12222
6,13,13,4,15993
6,13,13,5,20253
6,13,13,6,25282
6,13,13,7,30101
6,13,13,8,35619
6,13,13,9,41835
6,13,13,10,47980
6,13,13,11,55034
6,13,13,12,62367
6,13,13,13,70260
6,14,0,0,4051
6,14,1,0,4120
6,14,1,1,6565
6,14,2,0,4120
6,14,2,1,6495
6,14,2,2,9847
6,14,3,0,4051
6,14,3,1,6355
6,14,3,2,9777
6,14,3,3,12571
6,14,4,0,3981
6,14,4,1,6635
6,14,4,2,9987
6,14,4,3,12571
6,14,4,4,16692
6,14,5,0,3841
6,14,5,1,6216
6,14,5,2,9498
6,14,5,3,12781
6,14,5,4,16902
6,14,5,5,20883
6,14,6,0,4190
6,14,6,1,6355
6,14,6,2,9568
6,14,6,3,12641
6,14,6,4,16622
6,14,6,5,21022
6,14,6,6,26050
6,14,7,0,4121
6,14,7,1,6355
6,14,7,2,9708
6,14,7,3,12502
6,14,7,4,16691
6,14,7,5,21092
6,14,7,6,26050
6,14,7,7,30730
6,14,8,0,4121
6,14,8,1,6565
6,14,8,2,9499
6,14,8,3,12502
6,14,8,4,16761
6,14,8,5,21022
6,14,8,6,26120
6,14,8,7,30730
6,14,8,8,37085
6,14,9,0,3981
6,14,9,1,6844
6,14,9,2,9707
6,14,9,3,12571
6,14,9,4,16761
6,14,9,5,21161
6,14,9,6,25980
6,14,9,7,30939
6,14,9,8,36666
6,14,9,9,43232
6,14,10,0,4051
6,14,10,1,6425
6,14,10,2,9568
6,14,10,3,12571
6,14,10,4,16622
6,14,10,5,20952
6,14,10,6,25911
6,14,10,7,30869
6,14,10,8,36387
6,14,10,9,43231
6,14,10,10,49796
6,14,11,0,4190
6,14,11,1,6425
6,14,11,2,9778
6,14,11,3,12850
6,14,11,4,16692
6,14,11,5,20882
6,14,11,6,25841
6,14,11,7,31009
6,14,11,8,36527
6,14,11,9,43511
6,14,11,10,50076
6,14,11,11,56850
6,14,12,0,4121
6,14,12,1,6355
6,14,12,2,9498
6,14,12,3,12362
6,14,12,4,16553
6,14,12,5,21023
6,14,12,6,26050
6,14,12,7,31079
6,14,12,8,36178
6,14,12,9,43440
6,14,12,10,49657
6,14,12,11,56221
6,14,12,12,63625
6,14,13,0,4190
6,14,13,1,6495
6,14,13,2,9708
6,14,13,3,12362
6,14,13,4,16832
6,14,13,5,20952
6,14,13,6,26190
6,14,13,7,31288
6,14,13,8,36736
6,14,13,9,43371
6,14,13,10,49377
6,14,13,11,56851
6,14,13,12,64184
6,14,13,13,72355
6,14,14,0,4120
6,14,14,1,6425
6,14,14,2,9638
6,14,14,3,12571
6,14,14,4,16901
6,14,14,5,21092
6,14,14,6,25910
6,14,14,7,30870
6,14,14,8,36945
6,14,14,9,43650
6,14,14,10,50006
6,14,14,11,56501
6,14,14,12,64393
6,14,14,13,72145
6,14,14,14,81085
6,15,0,0,4190
6,15,1,0,4330
6,15,1,1,6845
6,15,2,0,4260
6,15,2,1,6844
6,15,2,2,10057
6,15,3,0,4260
6,15,3,1,6844
6,15,3,2,10057
6,15,3,3,12920
6,15,4,0,4050
6,15,4,1,6775
6,15,4,2,10057
6,15,4,3,12781
6,15,4,4,17180
6,15,5,0,3981
6,15,5,1,6355
6,15,5,2,9987
6,15,5,3,12990
6,15,5,4,17251
6,15,5,5,21721
6,15,6,0,4190
6,15,6,1,6705
6,15,6,2,9917
6,15,6,3,12851
6,15,6,4,17320
6,15,6,5,21161
6,15,6,6,26400
6,15,7,0,4121
6,15,7,1,6705
6,15,7,2,9848
6,15,7,3,13200
6,15,7,4,17391
6,15,7,5,21930
6,15,7,6,26470
6,15,7,7,31568
6,15,8,0,4260
6,15,8,1,6635
6,15,8,2,9777
6,15,8,3,12990
6,15,8,4,17460
6,15,8,5,21930
6,15,8,6,27168
6,15,8,7,31987
6,15,8,8,37574
6,15,9,0,4121
6,15,9,1,6634
6,15,9,2,10057
6,15,9,3,13200
6,15,9,4,17111
6,15,9,5,21441
6,15,9,6,26540
6,15,9,7,31638
6,15,9,8,37434
6,15,9,9,44069
6,15,10,0,4121
6,15,10,1,6635
6,15,10,2,10127
6,15,10,3,13269
6,15,10,4,17600
6,15,10,5,21371
6,15,10,6,26749
6,15,10,7,31848
6,15,10,8,37574
6,15,10,9,44559
6,15,10,10,50914
6,15,11,0,4120
6,15,11,1,6914
6,15,11,2,9988
6,15,11,3,12850
6,15,11,4,17320
6,15,11,5,21301
6,15,11,6,26958
6,15,11,7,31917
6,15,11,8,37365
6,15,11,9,44279
6,15,11,10,50844
6,15,11,11,57619
6,15,12,0,4121
6,15,12,1,6635
6,15,12,2,9917
6,15,12,3,13130
6,15,12,4,17460
6,15,12,5,21441
6,15,12,6,26469
6,15,12,7,31987
6,15,12,8,37016
6,15,12,9,44070
6,15,12,10,50774
6,15,12,11,57968
6,15,12,12,65650
6,15,13,0,4191
6,15,13,1,6704
6,15,13,2,9917
6,15,13,3,13060
6,15,13,4,17391
6,15,13,5,21511
6,15,13,6,26958
6,15,13,7,32196
6,15,13,8,37365
6,15,13,9,43999
6,15,13,10,51332
6,15,13,11,57478
6,15,13,12,65091
6,15,13,13,73053
6,15,14,0,4260
6,15,14,1,6635
6,15,14,2,9987
6,15,14,3,12781
6,15,14,4,17460
6,15,14,5,21860
6,15,14,6,26818
6,15,14,7,32476
6,15,14,8,37085
6,15,14,9,44348
6,15,14,10,50634
6,15,14,11,57130
6,15,14,12,64951
6,15,14,13,73962
6,15,14,14,81365
6,15,15,0,4330
6,15,15,1,6635
6,15,15,2,9777
6,15,15,3,13130
6,15,15,4,17321
6,15,15,5,21510
6,15,15,6,26888
6,15,15,7,32057
6,15,15,8,37854
6,15,15,9,44628
6,15,15,10,51263
6,15,15,11,58038
6,15,15,12,66349
6,15,15,13,73822
6,15,15,14,82273
6,15,15,15,91770
7,1,0,0,2794
7,1,1,0,3003
7,1,1,1,5098
7,2,0,0,3003
7,2,1,0,3003
7,2,1,1,5098
7,2,2,0,2933
7,2,2,1,5098
7,2,2,2,7333
7,3,0,0,2933
7,3,1,0,2933
7,3,1,1,5028
7,3,2,0,2933
7,3,2,1,5028
7,3,2,2,7403
7,3,3,0,2933
7,3,3,1,5238
7,3,3,2,7542
7,3,3,3,10686
7,4,0,0,2934
7,4,1,0,2933
7,4,1,1,5098
7,4,2,0,2933
7,4,2,1,5098
7,4,2,2,7124
7,4,3,0,2863
7,4,3,1,5098
7,4,3,2,7333
7,4,3,3,10825
7,4,4,0,2933
7,4,4,1,5099
7,4,4,2,7193
7,4,4,3,11035
7,4,4,4,15225
7,5,0,0,2864
7,5,1,0,3003
7,5,1,1,5099
7,5,2,0,3003
7,5,2,1,5028
7,5,2,2,7403
7,5,3,0,2933
7,5,3,1,5098
7,5,3,2,7263
7,5,3,3,10965
7,5,4,0,2933
7,5,4,1,5029
7,5,4,2,7263
7,5,4,3,11035
7,5,4,4,15085
7,5,5,0,2933
7,5,5,1,4889
7,5,5,2,7054
