Ciudades,RutasExistentes,Nanosegundos
19,58,30141
19,59,30823
19,60,30138
19,61,29728
19,62,29857
19,63,30788
19,64,31175
19,65,30386
19,66,30206
19,67,29692
19,68,30019
19,69,31274
19,70,30154
19,71,31635
19,72,30265
19,73,30401
19,74,30240
19,75,29736
19,76,30552
19,77,31042
19,78,30766
19,79,30533
19,80,31598
19,81,31477
19,82,31566
19,83,31939
19,84,30618
19,85,31067
19,86,32042
19,87,30553
19,88,32071
19,89,32066
19,90,31563
19,91,30703
19,92,32161
19,93,32178
19,94,32376
19,95,31179
19,96,31093
19,97,31462
19,98,31612
19,99,31988
19,100,31772
19,101,32228
19,102,32678
19,103,32068
19,104,32488
19,105,32224
19,106,32407
19,107,32973
19,108,33283
19,109,32653
19,110,33202
19,111,32490
19,112,32152
19,113,32319
19,114,32730
19,115,33673
19,116,34117
19,117,33584
19,118,33186
19,119,32345
19,120,32704
19,121,33814
19,122,33537
19,123,33687
19,124,32904
19,125,32888
19,126,34208
19,127,33600
19,128,33594
19,129,34195
19,130,33487
19,131,34715
19,132,33476
19,133,34237
19,134,33934
19,135,33946
19,136,34601
19,137,33734
19,138,33723
19,139,34162
19,140,34187
19,141,35493
19,142,34067
19,143,34121
19,144,34995
19,145,34449
19,146,36335
19,147,35461
19,148,35677
19,149,34810
19,150,35257
19,151,35476
19,152,35201
19,153,36358
19,154,35773
19,155,36714
19,156,35236
19,157,35215
19,158,34501
19,159,36364
19,160,36505
19,161,36591
19,162,37563
19,163,36602
19,164,36847
19,165,36684
19,166,36334
19,167,36901
19,168,36338
19,169,35661
19,170,37587
19,171,37862
20,0,32369
20,1,33229
20,2,33523
20,3,33804
20,4,34114
20,5,34076
20,6,33467
20,7,33959
20,8,33862
20,9,33129
20,10,33279
20,11,33202
20,12,34685
20,13,33591
20,14,33934
20,15,33807
20,16,33516
20,17,33261
20,18,34423
20,19,33886
20,20,33860
20,21,33951
20,22,33979
20,23,34441
20,24,33786
20,25,34805
20,26,33884
20,27,33543
20,28,32687
20,29,33532
20,30,32797
20,31,33406
20,32,34249
20,33,34530
20,34,34184
20,35,34071
20,36,33540
20,37,34527
20,38,32320
20,39,34168
20,40,33365
20,41,33904
20,42,33242
20,43,33591
20,44,33994
20,45,33546
20,46,33009
20,47,33296
20,48,33716
20,49,33918
20,50,33314
20,51,32968
20,52,33737
20,53,33937
20,54,33954
20,55,34354
20,56,33643
20,57,33600
20,58,33134
20,59,33034
20,60,34018
20,61,33722
20,62,34261
20,63,34058
20,64,33574
20,65,34165
20,66,33372
20,67,34876
20,68,33617
20,69,35003
20,70,33791
20,71,34621
20,72,34307
20,73,34364
20,74,34285
20,75,34221
20,76,33229
20,77,33469
20,78,34576
20,79,33755
20,80,34117
20,81,33294
20,82,35762
20,83,33693
20,84,34182
20,85,33813
20,86,34599
20,87,35056
20,88,34834
20,89,36011
20,90,34842
20,91,35536
20,92,34315
20,93,35603
20,94,35254
20,95,36423
20,96,35116
20,97,36016
20,98,35710
20,99,35875
20,100,35539
20,101,35353
20,102,34912
20,103,35379
20,104,36394
20,105,35553
20,106,35855
20,107,36151
20,108,35393
20,109,36283
20,110,35112
20,111,35989
20,112,36244
20,113,36697
20,114,35888
20,115,36388
20,116,36450
20,117,36034
20,118,36876
20,119,35942
20,120,35832
20,121,37033
20,122,36905
20,123,36868
20,124,35676
20,125,37046
20,126,36302
20,127,37615
20,128,36822
20,129,37104
20,130,36963
20,131,37101
20,132,37788
20,133,37260
20,134,37013
20,135,37131
20,136,37620
20,137,37854
20,138,37531
20,139,38078
20,140,39166
20,141,37755
20,142,37456
20,143,39178
20,144,37787
20,145,38756
20,146,38752
20,147,38114
20,148,38528
20,149,38372
20,150,37987
20,151,38518
20,152,38487
20,153,39005
20,154,38931
20,155,39366
20,156,39337
20,157,38834
20,158,40723
20,159,39968
20,160,38880
20,161,40521
20,162,38981
20,163,38619
20,164,39155
20,165,39241
20,166,39299
20,167,40651
20,168,40241
20,169,41177
20,170,38923
20,171,39406
20,172,39712
20,173,40443
20,174,40491
20,175,40274
20,176,41521
20,177,39465
20,178,42064
20,179,41538
20,180,40844
20,181,42861
20,182,40742
20,183,41024
20,184,41356
20,185,40485
20,186,42232
20,187,43450
20,188,42987
20,189,43412
20,190,43335
